Finished,Q1,Q1_7_TEXT,Q2,Q11,Q12,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_11_TEXT,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q9
FALSE,Faculty Member,,,,,Statistics,Yes,Extremely knowledgeable,Moderately knowledgeable,Extremely knowledgeable,Extremely knowledgeable,Moderately knowledgeable,Slightly knowledgeable,Moderately knowledgeable,Not knowledgeable at all,Slightly knowledgeable,,,,,,,,,,,,,,,,,,,
TRUE,Faculty Member,,,,,"Tourism, Recreation and Sport Managment",No,Extremely knowledgeable,Moderately knowledgeable,Moderately knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Would NOT attend,Would NOT attend,Would NOT attend,Would NOT attend,Would NOT attend,Might attend,Might attend,Would NOT attend,Might attend,Might attend,,,In-person taught by instructor,"Morning,Midday,Afternoon",None,None,None,"Morning,Midday,Afternoon,Evening",E-Mail
TRUE,Postgraduate Researcher,,,,,Economics,No,Extremely knowledgeable,Moderately knowledgeable,Moderately knowledgeable,Not knowledgeable at all,Slightly knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Moderately knowledgeable,Extremely knowledgeable,Would NOT attend,Would attend,Would attend,Would attend,Would NOT attend,Would NOT attend,Would NOT attend,Would NOT attend,Might attend,Would attend,,,"Online information portal,Online video/tutorial or course,Webinar,Online learning/research community",Evening,Evening,Evening,Evening,Evening,E-Mail
TRUE,Ph.D Candidate,,Full-time student,,1,Counselor Education,Yes,Moderately knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Moderately knowledgeable,Not knowledgeable at all,Slightly knowledgeable,Not knowledgeable at all,Slightly knowledgeable,Slightly knowledgeable,Would NOT attend,Might attend,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,Might attend,Might attend,,,"In-person taught by instructor,Online information portal,Webinar,Small interest group","Morning,Midday","Morning,Midday","Morning,Midday","Morning,Midday","Morning,Midday,Afternoon,Evening","E-Mail,Informatics Institute Website,Facebook"
TRUE,Faculty Member,,,,,Statistics,No,Extremely knowledgeable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Would NOT attend,Might attend,Might attend,Might attend,Might attend,Might attend,Might attend,Might attend,Might attend,Might attend,,,In-person taught by instructor,,,,,,E-Mail
TRUE,Faculty Member,,,,,Biology,Yes,Moderately knowledgeable,Moderately knowledgeable,Slightly knowledgeable,Moderately knowledgeable,Moderately knowledgeable,Moderately knowledgeable,Moderately knowledgeable,Moderately knowledgeable,Slightly knowledgeable,Might attend,Might attend,Would attend,Might attend,Would NOT attend,Would NOT attend,Might attend,Would attend,Would attend,Would NOT attend,,,"In-person taught by instructor,Webinar,Small interest group,Online learning/research community","Morning,Midday","Morning,Midday","Morning,Midday","Morning,Midday","Morning,Midday",E-Mail
TRUE,Ph.D Candidate,,Full-time student,,4,Electrical and Computer Engineering,No,Extremely knowledgeable,Moderately knowledgeable,Extremely knowledgeable,Slightly knowledgeable,Moderately knowledgeable,Moderately knowledgeable,Moderately knowledgeable,Moderately knowledgeable,Slightly knowledgeable,Would NOT attend,Would NOT attend,Would NOT attend,Would NOT attend,Would NOT attend,Might attend,Might attend,Would NOT attend,Might attend,Might attend,,,"In-person taught by instructor,Online learning/research community","Afternoon,Evening",None,"Afternoon,Evening","Afternoon,Evening",None,E-Mail
TRUE,Ph.D Candidate,,Full-time student,,3,Mechanical and Aerospace Engineering,Yes,Slightly knowledgeable,Moderately knowledgeable,Moderately knowledgeable,Not knowledgeable at all,Slightly knowledgeable,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Would attend,Would attend,Would attend,Might attend,Would NOT attend,Would NOT attend,Might attend,Might attend,Would attend,Would NOT attend,,,"In-person taught by instructor,Online information portal,Online video/tutorial or course,Webinar,Small interest group,Online learning/research community","Midday,Afternoon,Evening",None,"Midday,Afternoon,Evening","Midday,Afternoon,Evening","Midday,Afternoon,Evening",E-Mail
TRUE,Master's Candidate,,Full-time student,,1,Mechanical and Aerospace Engineering,Yes,Slightly knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,Would attend,Might attend,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,,,"In-person taught by instructor,Online video/tutorial or course",Evening,Evening,Evening,"Morning,Evening","Morning,Evening","E-Mail,Facebook"
TRUE,Ph.D Candidate,,Full-time student,,3,Agricultural and Biological Engineering,Yes,Slightly knowledgeable,Slightly knowledgeable,Moderately knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Slightly knowledgeable,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,Would attend,Would NOT attend,Would NOT attend,"Linux, machine learning, women in coding","In-person taught by instructor,Online video/tutorial or course,Webinar,Small interest group,Online learning/research community","Afternoon,Evening","Afternoon,Evening","Afternoon,Evening","Midday,Afternoon,Evening","Midday,Afternoon,Evening","E-Mail,Informatics Institute Website,Facebook,Twitter,Flyer"
